phone,state,district,title_long,person__firstname,person__lastname,person__name
(202) 224-4944,TN,,Senator,Lamar,Alexander,Sen. Lamar Alexander [R-TN]
(202) 224-6253,MS,,Senator,Roger,Wicker,Sen. Roger Wicker [R-MS]
(202) 224-4024,VA,,Senator,Timothy,Kaine,Sen. Timothy Kaine [D-VA]
(202) 224-5922,TX,,Senator,Ted,Cruz,Sen. Ted Cruz [R-TX]
(202) 224-6551,NE,,Senator,Deb,Fischer,Sen. Deb Fischer [R-NE]
(202) 224-2043,ND,,Senator,Heidi,Heitkamp,Sen. Heidi Heitkamp [D-ND]
(202) 224-5344,ME,,Senator,Angus,King,Sen. Angus King [I-ME]
(202) 224-4543,MA,,Senator,Elizabeth,Warren,Sen. Elizabeth Warren [D-MA]
(202) 224-3954,WV,,Senator,Joe,Manchin,Sen. Joe Manchin [D-WV]
(202) 224-5521,NM,,Senator,Martin,Heinrich,Sen. Martin Heinrich [D-NM]
(202) 224-6441,WY,,Senator,John,Barrasso,Sen. John Barrasso [R-WY]
(202) 224-3344,TN,,Senator,Bob,Corker,Sen. Bob Corker [R-TN]
(202) 224-2921,RI,,Senator,Sheldon,Whitehouse,Sen. Sheldon Whitehouse [D-RI]
(202) 224-6324,PA,,Senator,Robert,Casey,Sen. Robert “Bob” Casey [D-PA]
(202) 224-2644,MT,,Senator,Jon,Tester,Sen. Jon Tester [D-MT]
(202) 224-6154,MO,,Senator,Claire,McCaskill,Sen. Claire McCaskill [D-MO]
(202) 224-3244,MN,,Senator,Amy,Klobuchar,Sen. Amy Klobuchar [D-MN]
(202) 224-4451,NY,,Senator,Kirsten,Gillibrand,Sen. Kirsten Gillibrand [D-NY]
(202) 224-6244,NV,,Senator,Dean,Heller,Sen. Dean Heller [R-NV]
(202) 224-4814,IN,,Senator,Joe,Donnelly,Sen. Joe Donnelly [D-IN]
(202) 224-6361,HI,,Senator,Mazie,Hirono,Sen. Mazie Hirono [D-HI]
(202) 224-4041,CT,,Senator,Christopher,Murphy,Sen. Christopher Murphy [D-CT]
(202) 224-4822,MI,,Senator,Debbie,Stabenow,Sen. Debbie Stabenow [D-MI]
(202) 224-5274,FL,,Senator,Bill,Nelson,Sen. Bill Nelson [D-FL]
(202) 224-5251,UT,,Senator,Orrin,Hatch,Sen. Orrin Hatch [R-UT]
(202) 224-3841,CA,,Senator,Dianne,Feinstein,Sen. Dianne Feinstein [D-CA]
(202) 224-2441,DE,,Senator,Thomas,Carper,Sen. Thomas Carper [D-DE]
(202) 224-3441,WA,,Senator,Maria,Cantwell,Sen. Maria Cantwell [D-WA]
(202) 224-5141,VT,,Senator,Bernard,Sanders,Sen. Bernard “Bernie” Sanders [I-VT]
(202) 224-4744,NJ,,Senator,Robert,Menéndez,Sen. Robert “Bob” Menéndez [D-NJ]
(202) 224-4521,AZ,,Senator,Jeff,Flake,Sen. Jeff Flake [R-AZ]
(202) 224-4524,MD,,Senator,Benjamin,Cardin,Sen. Benjamin Cardin [D-MD]
(202) 224-2315,OH,,Senator,Sherrod,Brown,Sen. Sherrod Brown [D-OH]
(202) 224-5653,WI,,Senator,Tammy,Baldwin,Sen. Tammy Baldwin [D-WI]
(202) 224-5054,MS,,Senator,Thad,Cochran,Sen. Thad Cochran [R-MS]
(202) 224-2523,ME,,Senator,Susan,Collins,Sen. Susan Collins [R-ME]
(202) 224-2934,TX,,Senator,John,Cornyn,Sen. John Cornyn [R-TX]
(202) 224-2152,IL,,Senator,Richard,Durbin,Sen. Richard Durbin [D-IL]
(202) 224-3424,WY,,Senator,Michael,Enzi,Sen. Michael Enzi [R-WY]
(202) 224-5972,SC,,Senator,Lindsey,Graham,Sen. Lindsey Graham [R-SC]
(202) 224-4721,OK,,Senator,James,Inhofe,Sen. James “Jim” Inhofe [R-OK]
(202) 224-2541,KY,,Senator,Mitch,McConnell,Sen. Mitch McConnell [R-KY]
(202) 224-4642,RI,,Senator,John,Reed,Sen. John “Jack” Reed [D-RI]
(202) 224-4774,KS,,Senator,Pat,Roberts,Sen. Pat Roberts [R-KS]
(202) 224-4124,AL,,Senator,Jefferson,Sessions,Sen. Jefferson “Jeff” Sessions [R-AL]
(202) 224-6472,WV,,Senator,Shelley,Capito,Sen. Shelley Capito [R-WV]
(202) 224-2742,MA,,Senator,Edward,Markey,Sen. Edward “Ed” Markey [D-MA]
(202) 224-6621,NM,,Senator,Tom,Udall,Sen. Tom Udall [D-NM]
(202) 224-5824,LA,,Senator,Bill,Cassidy,Sen. Bill Cassidy [R-LA]
(202) 224-6221,MI,,Senator,Gary,Peters,Sen. Gary Peters [D-MI]
